app_name,avg_sentiment
AquaSnap Window Manager,0.562
Aquadelic GT,0.371
Aquaria,0.592
Ara Fell: Enhanced Edition,0.25
Aragami,0.597
Arcadecraft,-0.568
Arcana Heart 3 LOVE MAX!!!!!,0.406
Arcane Sorcery,-0.003
ArcaniA,-0.797
ArcaniA: Fall of Setarrif,-0.957
Arcanum,0.561
Archeblade,-0.593
Archibald's Adventures,0.787
Archimedes,0.399
Archon:Classic,-0.35
Arclight Cascade,0.332
Arctic Adventure,-0.4
Arctic Trucker Simulator,-0.671
Arctic alive,-0.199
Area-X,0.8
Arena Wars 2,-0.588
Ares Omega,-0.715
Arevan,-0.305
Aritana and the Harpy's Feather,0.804
Arizona Sunshine,0.79
Arkham Nightmares,-0.977
Arkhelom 3D,-0.027
Arkshot,0.591
Arma 2,0.593
Arma 2: Operation Arrowhead,0.22
Arma 3,0.41
Arma Tactics,-0.642
Arma: Cold War Assault,-0.399
Arma: Combat Operations,-0.003
Arma: Gold Edition,0.178
Armada 2526,-0.4
Armada 2526 Gold Edition,-0.397
Armed and Dangerous,0.375
Armello,0.416
Armikrog,-0.416
Armor Clash,0.154
Armored Fist 3,0.014
Armored Hunter GUNHOUND EX,-0.4
Arms Dealer,-0.574
Army of Pixels,0.55
Army of Tentacles: (Not) A Cthulhu Dating Sim,-0.597
Arson & Plunder: Unleashed,-0.018
ArsonVille,-0.151
ArtRage 4,0.799
Artemis Spaceship Bridge Simulator,0.397
Artifact Adventure,0.385
Artificial Defense,0.997
Arvale,0.4
Arx Fatalis,0.784
Ascendant,-0.202
Ascension,0.375
Ascension to the Throne,0.179
Ascent - The Space Game,0.007
Asdivine Hearts,0.172
Aselia the Eternal -The Spirit of Eternity Sword-,0.547
Asemblance,-0.16
Aseprite,1.0
Ashes of Immortality,0.376
Ashes of Immortality II,-0.0
Ashes of the Singularity: Classic,-0.005
Ashes of the Singularity: Escalation,0.972
Aspectus: Rinascimento Chronicles,-0.504
Asphyxia,-0.6
Assassin's Creed,0.179
Assassin's Creed Brotherhood,0.8
Assassin's Creed Freedom Cry,0.187
Assassin's Creed II,0.238
Assassin's Creed IV Black Flag,0.206
Assassin's Creed Liberation,-0.778
Assassin's Creed Revelations,0.375
Assassin's Creed Rogue,0.748
Assassin's Creed Syndicate,0.184
Assassin's Creed Unity,-0.4
Assassin's Creed® III,-0.185
Assassins vs Pirates,0.596
Assassin’s Creed® Chronicles: China,-0.168
Assassin’s Creed® Chronicles: India,-0.002
Assassin’s Creed® Chronicles: Russia,-0.192
Assault Android Cactus,0.799
Assault CorpsII,-0.595
Assault Suit Leynos,0.796
Assault on Arnhem,0.2
Assetto Corsa,0.618
Astebreed: Definitive Edition,0.381
Asteria,-0.941
Asteroid Bounty Hunter,0.386
Asteroids Minesweeper,0.362
Astervoid 2000,0.793
Astral Breakers,-0.321
Astral Gun,0.216
Astral Heroes,-0.01
Astray,0.408
Astro Duel,0.809
Astro Emporia,-0.353
Astro Lords,0.146
Astro Lords: Oort Cloud,-0.158
Astro Tripper,-0.6
AstroPop Deluxe,0.436
Astroderps,-0.112
Astroflux,-0.15
Astroloco: Worst Contact,-0.11
Astronaut Simulator,-0.402
Astrox: Hostile Space Excavation,0.403
Atari Vault,0.168
Atlantic Fleet,0.001
Atlantic Quest Solitaire,-1.0
Atlantis 2: Beyond Atlantis,-0.17
Atlantis Sky Patrol ,1.0
Atlantis: Pearls of the Deep,0.903
Atlas Reactor,0.553
Atlas Reactor VR Character Viewer,0.61
Atom Fishing II,0.144
Atom Zombie Smasher ,0.199
Atonement 2: Ruptured by Despair,0.998
Atonement: Scourge of Time,0.014
Atriage,0.214
Attack Heroes,0.91
Attack of the Labyrinth +,-0.065
Attack on Titan / A.O.T. Wings of Freedom,-0.0
Attractio,0.387
Atulos Online,-0.004
Audio Arena,0.8
Audioshield,0.555
Audiosurf 2,0.373
Audition Online,0.401
Auditorium,0.327
Aura Kingdom,0.583
Aura: Fate of the Ages,-0.649
Auralux: Constellations,0.598
Auro: A Monster-Bumping Adventure,0.591
Aurora Nights,-0.197
Auto Dealership Tycoon,-0.167
AutoTileGen,-0.23
Autobahn Police Simulator,-0.79
Automata Empire,0.16
Automobilista,0.796
Autumn,-0.412
Autumn Dream,-0.206
Autumn Park Mini Golf,-0.193
Avadon 2: The Corruption,0.78
Avadon 3: The Warborn,0.979
Avadon: The Black Fortress,0.199
Avalanche 2: Super Avalanche,0.161
Avaris 2,-0.81
Avencast,-0.832
Avernum 2: Crystal Souls,0.2
Avernum 4,0.396
Avernum 5,0.34
Avernum 6,0.789
Avernum: Escape From the Pit,0.563
Aveyond 3-1: Lord of Twilight,0.604
Aveyond 3-2: Gates of Night,0.201
Aveyond 3-3: The Lost Orb,-0.2
Aveyond 3-4: The Darkthrop Prophecy,-0.421
Aveyond 4: Shadow of the Mist,0.798
Aviary Attorney,0.739
Aviator - Bush Pilot,-0.987
Avoid Sensory Overload,0.394
Awakened,-0.6
Awakening of Solutio,-1.0
Awakening: The Redleaf Forest Collector's Edition,-0.239
Awareness Rooms,0.517
Awe,0.361
Awesomenauts,0.417
Awkward Dimensions Redux,-0.194
"Axe, Bow & Staff",0.415
Axel & Pixel,0.057
Axes and Acres,0.63
Axiom Verge,0.791
Axion,-0.602
Axis Football 2015,-0.428
Axis Football 2016,-0.043
Axis Game Factory's AGFPRO 3.0,-0.201
Ayumi: Enhanced Edition,0.332
Azada,-0.095
Aztecalypse,-0.819
Azure Striker Gunvolt,0.726
B-17 Flying Fortress: The Mighty 8th,-0.201
B.A.D Battle Armor Division,-0.2
B.U.T.T.O.N.,-0.039
BAD END,0.372
BADBLOOD,0.584
BADLAND: Game of the Year Edition,0.396
BANZAI PECAN: The Last Hope For the Young Century,-0.6
BARRIER X,0.591
BASEBALL STARS 2,-0.195
BATTLE PIXELS,0.203
BC Kings,-0.561
BEEP,0.797
BIOS,-0.188
BIT.TRIP BEAT,-0.538
BIT.TRIP CORE,0.219
BIT.TRIP FATE,-0.392
BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,0.629
BIT.TRIP RUNNER,0.549
BIT.TRIP VOID,0.02
BLACKHOLE,0.194
BLADE ARCUS from Shining: Battle Arena,-0.388
BLADESTORM: Nightmare,0.033
BLARP!,0.968
BLEAK: Welcome to Glimmer,0.374
BLUE REVOLVER,0.958
BOMB,-0.199
BRAINPIPE: A Plunge to Unhumanity,0.199
BRAWL,0.198
BRINK,-0.786
BUDDY,0.392
BUTCHER,0.34
Babel Rising,-0.393
Babel: Choice,-0.997
Back To Life 2,-1.0
Back To Life 3,-0.999
Back in 1995,0.358
Back to Bed,0.738
Back to Dinosaur Island ,-0.184
Back to Dinosaur Island 2,0.399
Back to the Future: Ep 1 - It's About Time,0.413
Back to the Future: Ep 2 - Get Tannen!,0.569
Back to the Future: Ep 3 - Citizen Brown,0.788
Back to the Future: Ep 5 - OUTATIME,0.434
Backgammon Blitz,-0.422
Backstage Pass,0.583
Backstreets of the Mind,0.016
Bacteria,-0.229
Bad Bots,-0.198
Bad Caterpillar,0.361
Bad Hotel,-0.187
Bad Mojo Redux,0.004
Bad Rats,0.195
Bad Rats Show,0.164
Bad Sector HDD,-0.125
Baezult,0.003
BalanCity,0.178
Baldur's Gate II: Enhanced Edition,0.4
Baldur's Gate: Enhanced Edition,0.635
Ball of Wonder,-0.258
Ballad of Solar,0.354
Ballads of Reemus: When the Bed Bites,0.508
Ballistic Tanks,0.609
Ballistick,0.205
Balrum,0.594
Bamboo EP,0.404
BanHammer,-0.602
Band of Drones,0.477
Bang Bang Racing,0.43
Banished,0.431
Banzai Escape,-0.561
Barbarian Brawl,-0.019
Bard to the Future,-0.534
Bard's Gold,0.006
Bardbarian,0.589
Barnyard Mahjong 3,0.508
Baron Wittard,0.89
Barrow Hill: Curse of the Ancient Circle,0.132
Barrow Hill: The Dark Path,0.409
Barter Empire,-0.2
Baseball Mogul 2015,0.423
Baseball Mogul Diamond,0.203
BasketBelle,0.404
Basketball Pro Management 2014,-0.791
Basketball Pro Management 2015,0.182
Bass Blocks,-0.21
Bastion,0.996
Bathory - The Bloody Countess,-0.132
Batla,0.144
Batman - The Telltale Series,0.572
Batman: Arkham Asylum GOTY Edition,0.413
Batman: Arkham City GOTY,0.79
Batman™: Arkham Knight,-0.2
Batman™: Arkham Origins,-0.213
Batman™: Arkham Origins Blackgate - Deluxe Edition,-0.789
Battle Academy,0.599
Battle Academy 2: Eastern Front,0.6
Battle Battalions,-0.193
Battle Fantasia -Revised Edition-,-0.204
Battle Fleet 2,0.342
Battle For The Sun,-0.572
Battle Forever,-0.819
Battle Group 2,0.203
Battle Islands,-0.011
Battle Mages,0.428
Battle Mages: Sign of Darkness,-0.15
Battle Of Europe,0.107
Battle Ranch,0.013
Battle Worlds: Kronos,-0.193
Battle for Blood - Epic battles within 30 seconds!,0.39
Battle of Empires : 1914-1918,-0.207
Battle of the Bulge,-0.164
Battle vs Chess,0.003
BattleBlock Theater,0.601
BattleLore: Command,0.171
BattleQuiz,-0.616
BattleSpace,-0.4
BattleStick,0.007
BattleTime,-0.179
Battleborn,-0.205
Battlefield: Bad Company™ 2,0.994
Battlefleet Gothic: Armada,0.798
Battlegrounds of Eldhelm,0.399
Battlepaths,-0.189
Battlepillars Gold Edition,0.439
Battleplan: American Civil War,-0.396
Battles of Norghan,0.688
Battlestations: Pacific,0.359
Battletank LOBA,-0.256
Battlevoid: Harbinger,-0.141
Battlezone 98 Redux,0.64
Bayla Bunny,-0.446
Bazaar,0.47
Beach Bounce,-0.016
Bear Haven Nights,0.547
Bear Simulator,0.533
Bear With Me,0.473
Bears Can't Drift!?,-0.002
Beast Boxing Turbo,0.2
Beasts Battle,0.196
Beat Hazard,0.038
BeatBlasters III,-0.203
Beatbuddy: On Tour,0.333
Beatbuddy: Tale of the Guardians,0.595
Beautiful Japanese Scenery - Animated Jigsaws,0.663
Beeswing,0.776
Before the Echo,0.165
Beholder,-0.392
Bejeweled 2 Deluxe,0.173
Bejeweled 3,0.59
Bejeweled Deluxe,0.2
Bejeweled Twist,0.3
Bell Ringer,-0.758
Belladonna,0.015
Below Kryll,0.398
Ben and Ed,0.382
Beneath The Cherry Trees,-0.198
Benji Challenges,-0.406
Bermuda,-0.223
Berserk: The Cataclysm,-0.549
Best in Show Solitaire,0.979
Bet On Soldier,-0.59
Better Late Than DEAD,-0.794
Between Me and The Night,0.435
Beware Planet Earth,-0.158
Beyond Dimensions,0.6
Beyond Divinity,-0.192
Beyond Good & Evil,0.626
Beyond Gravity,0.237
Beyond Reality,0.793
Beyond Sol,0.199
Beyond Space,-0.601
Bezier,0.782
BiT Evolution,-0.169
Bientôt l'été,-0.635
Bierzerkers,-0.8
Big Action Mega Fight!,0.046
Big Bang Empire,-0.395
Big Brain Wolf,-0.404
Big Fish Legend,-0.208
Big Journey to Home,-0.8
Big Money! Deluxe,0.341
Big Pharma,0.602
Big Thinkers 1st Grade,0.964
Big Thinkers Kindergarten,0.006
Biglands: A Game Made By Kids,-0.187
Bigscreen Beta,0.597
Bik - A Space Adventure,0.798
Bin Weevils Arty Arcade,0.316
Binaries,0.768
Binary Domain,0.6
Bio Menace,0.4
BioShock,0.578
BioShock 2,0.209
BioShock 2 Remastered,-0.6
BioShock Infinite,0.399
BioShock Remastered,-0.202
Biodrone Battle,-0.425
Bionic Commando,0.203
Bionic Commando Rearmed,0.224
Bionic Dues,-0.016
Bionic Heart,-0.202
Bipolar Game,0.996
Bird Assassin,0.201
Bird of Light,0.189
Birth of Shadows,0.954
Bit Blaster XL,0.637
BitMaster,0.6
Bitardia Cards: Memes of 2ch,0.004
Bitslap,0.481
Bitweb,-0.812
Bizarre Earthquake,-0.202
Black & White Bushido,0.846
Black Closet,0.22
Black Hat Cooperative,0.001
Black Hole Hazard,0.616
Black Home,-0.186
Black Ink,0.215
