app_name,avg_sentiment
Axiom Verge,0.661
Axion,-0.455
Axis Football 2015,-0.071
Axis Football 2016,0.216
Axis Game Factory's AGFPRO 3.0,0.252
Ayumi: Enhanced Edition,0.332
Azada,-0.095
Aztecalypse,-0.819
Azure Striker Gunvolt,0.368
B-17 Flying Fortress: The Mighty 8th,0.08
B.A.D Battle Armor Division,-0.2
B.U.T.T.O.N.,0.174
BAD END,0.095
BADBLOOD,0.529
BADLAND: Game of the Year Edition,0.352
BANZAI PECAN: The Last Hope For the Young Century,-0.57
BARRIER X,0.398
BASEBALL STARS 2,-0.098
BATTLE PIXELS,0.174
BC Kings,-0.25
BEEP,0.358
BIOS,-0.027
BIT.TRIP BEAT,0.019
BIT.TRIP CORE,-0.28
BIT.TRIP FATE,-0.036
BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,0.469
BIT.TRIP RUNNER,0.182
BIT.TRIP VOID,0.156
BLACKHOLE,0.367
BLADE ARCUS from Shining: Battle Arena,-0.133
BLADESTORM: Nightmare,-0.386
BLARP!,0.695
BLEAK: Welcome to Glimmer,0.626
BLUE REVOLVER,0.885
BOMB,-0.238
BRAINPIPE: A Plunge to Unhumanity,0.194
BRAWL,0.335
BRINK,-0.266
BUDDY,0.191
BUTCHER,0.268
Babel Rising,-0.592
Babel: Choice,-0.997
Back To Life 2,-1.0
Back To Life 3,-0.999
Back in 1995,-0.175
Back to Bed,0.146
Back to Dinosaur Island ,0.038
Back to Dinosaur Island 2,0.396
Back to the Future: Ep 1 - It's About Time,0.558
Back to the Future: Ep 2 - Get Tannen!,0.65
Back to the Future: Ep 3 - Citizen Brown,0.679
Back to the Future: Ep 5 - OUTATIME,0.591
Backgammon Blitz,-0.18
Backstage Pass,0.417
Backstreets of the Mind,0.016
Bacteria,-0.094
Bad Bots,-0.463
Bad Caterpillar,0.389
Bad Hotel,-0.562
Bad Mojo Redux,0.321
Bad Rats,0.08
Bad Rats Show,0.269
Bad Sector HDD,-0.103
Baezult,0.042
BalanCity,0.149
Baldur's Gate II: Enhanced Edition,0.566
Baldur's Gate: Enhanced Edition,0.471
Ball of Wonder,-0.258
Ballad of Solar,0.372
Ballads of Reemus: When the Bed Bites,0.562
Ballistic Tanks,0.366
Ballistick,-0.181
Balrum,0.311
Bamboo EP,0.458
BanHammer,-0.242
Band of Drones,0.477
Bang Bang Racing,0.294
Banished,0.422
Banzai Escape,-0.082
Barbarian Brawl,-0.209
Bard to the Future,-0.396
Bard's Gold,0.299
Bardbarian,0.621
Barnyard Mahjong 3,0.508
Baron Wittard,0.89
Barrow Hill: Curse of the Ancient Circle,0.132
Barrow Hill: The Dark Path,0.311
Barter Empire,-0.266
Baseball Mogul 2015,0.423
Baseball Mogul Diamond,0.203
BasketBelle,0.362
Basketball Pro Management 2014,-0.844
Basketball Pro Management 2015,-0.235
Bass Blocks,-0.279
Bastion,0.807
Bathory - The Bloody Countess,-0.132
Batla,-0.123
Batman - The Telltale Series,0.348
Batman: Arkham Asylum GOTY Edition,0.719
Batman: Arkham City GOTY,0.83
Batman™: Arkham Knight,-0.09
Batman™: Arkham Origins,0.068
Batman™: Arkham Origins Blackgate - Deluxe Edition,-0.566
Battle Academy,0.475
Battle Academy 2: Eastern Front,0.689
Battle Battalions,-0.237
Battle Fantasia -Revised Edition-,-0.069
Battle Fleet 2,0.287
Battle For The Sun,-0.366
Battle Forever,-0.819
Battle Group 2,0.184
Battle Islands,0.079
Battle Mages,0.143
Battle Mages: Sign of Darkness,-0.15
Battle Of Europe,0.107
Battle Ranch,-0.435
Battle Worlds: Kronos,-0.128
Battle for Blood - Epic battles within 30 seconds!,-0.039
Battle of Empires : 1914-1918,-0.431
Battle of the Bulge,-0.007
Battle vs Chess,0.002
BattleBlock Theater,0.583
BattleLore: Command,0.326
BattleQuiz,-0.616
BattleSpace,-0.567
BattleStick,-0.233
BattleTime,0.08
Battleborn,-0.105
Battlefield: Bad Company™ 2,0.545
Battlefleet Gothic: Armada,0.213
Battlegrounds of Eldhelm,0.009
Battlepaths,-0.188
Battlepillars Gold Edition,0.4
Battleplan: American Civil War,-0.155
Battles of Norghan,0.688
Battlestations: Pacific,-0.017
Battletank LOBA,-0.256
Battlevoid: Harbinger,0.286
Battlezone 98 Redux,0.636
Bayla Bunny,-0.419
Bazaar,0.47
Beach Bounce,-0.269
Bear Haven Nights,0.657
Bear Simulator,0.225
Bear With Me,0.541
Bears Can't Drift!?,-0.127
Beast Boxing Turbo,0.575
Beasts Battle,0.141
Beat Hazard,0.503
BeatBlasters III,-0.536
Beatbuddy: On Tour,0.333
Beatbuddy: Tale of the Guardians,0.045
Beautiful Japanese Scenery - Animated Jigsaws,0.663
Beeswing,0.747
Before the Echo,0.57
Beholder,0.119
Bejeweled 2 Deluxe,0.566
Bejeweled 3,0.709
Bejeweled Deluxe,0.113
Bejeweled Twist,0.479
Bell Ringer,-0.637
Belladonna,-0.038
Below Kryll,0.554
Ben and Ed,0.196
Beneath The Cherry Trees,-0.354
Benji Challenges,-0.406
Bermuda,-0.313
Berserk: The Cataclysm,-0.549
Best in Show Solitaire,0.979
Bet On Soldier,-0.322
Better Late Than DEAD,-0.888
Between Me and The Night,0.245
Beware Planet Earth,0.098
Beyond Dimensions,0.535
Beyond Divinity,-0.377
Beyond Good & Evil,0.501
Beyond Gravity,0.123
Beyond Reality,0.834
Beyond Sol,0.22
Beyond Space,-0.636
Bezier,0.724
BiT Evolution,0.13
Bientôt l'été,-0.532
Bierzerkers,-0.497
Big Action Mega Fight!,0.142
Big Bang Empire,-0.445
Big Brain Wolf,-0.294
Big Fish Legend,-0.08
Big Journey to Home,-0.667
Big Money! Deluxe,0.374
Big Pharma,0.024
Big Thinkers 1st Grade,0.831
Big Thinkers Kindergarten,0.003
Biglands: A Game Made By Kids,-0.327
Bigscreen Beta,0.554
Bik - A Space Adventure,0.672
Bin Weevils Arty Arcade,0.316
Binaries,0.561
Binary Domain,0.253
Bio Menace,0.594
BioShock,0.518
BioShock 2,0.336
BioShock 2 Remastered,-0.537
BioShock Infinite,0.533
BioShock Remastered,-0.299
Biodrone Battle,-0.346
Bionic Commando,-0.074
Bionic Commando Rearmed,0.153
Bionic Dues,0.153
Bionic Heart,-0.18
Bipolar Game,0.996
Bird Assassin,0.159
Bird of Light,0.421
Birth of Shadows,0.954
Bit Blaster XL,0.741
BitMaster,0.404
Bitardia Cards: Memes of 2ch,-0.242
Bitslap,0.6
Bitweb,-0.58
Bizarre Earthquake,-0.164
Black & White Bushido,0.846
Black Closet,0.459
Black Hat Cooperative,0.223
Black Hole Hazard,0.555
Black Home,0.01
Black Ink,0.514
Black Island,0.082
